Fullname with number,Lat,Long,,ID,Fullname,ID with all,Name,Place
"-2  Denali Erratic, Denali National Park, Denali, AK",63.721633,-148.9658,,off map,"Denali Erratic, Denali National Park, Denali, AK",1,Denali Erratic,"Denali National Park, Denali, AK"
"-1  Williwaw Erratic, Portage Lake, AK",60.7845,-148.87425,,off map,"Williwaw Erratic, Portage Lake, AK",2,Williwaw Erratic,"Portage Lake, AK"
"0  Mendenhall Glacier Erratics, Tongass National Forest, Juneau, AK",58.491255,-134.523227,,off map,"Mendenhall Glacier Erratics, Tongass National Forest, Juneau, AK",3,Mendenhall Glacier Erratics,"Tongass National Forest, Juneau, AK"
"1  Big Rock, Campbell River, BC",49.989773,-125.225808,,1,"Big Rock, Campbell River, BC",4,Big Rock,"Campbell River, BC"
"2  Bellevue Erratic / Sheridan Erratic, Bellevue, Oregon",45.117361,-123.316211,,2,"Bellevue Erratic / Sheridan Erratic, Bellevue, Oregon",5,Bellevue Erratic / Sheridan Erratic,"Bellevue, Oregon"
"3  Yamhill Valley Erratic, Willamette Valley, OR",45.14,-123.292778,,3,"Yamhill Valley Erratic, Willamette Valley, OR",6,Yamhill Valley Erratic,"Willamette Valley, OR"
"4  Shasta Court Erratic, Coquitlam, BC",49.266017,-122.8421,,4,"Shasta Court Erratic, Coquitlam, BC",7,Shasta Court Erratic,"Coquitlam, BC"
"5  White Rock, White Rock, BC",49.01995,-122.802519,,5,"White Rock, White Rock, BC",8,White Rock,"White Rock, BC"
"6  H Street Erratic, Blaine, WA",48.994108,-122.726207,,6,"H Street Erratic, Blaine, WA",9,H Street Erratic,"Blaine, WA"
"7  Big Rock, Coupville, Whidbey Island, WA",48.210283,-122.686817,,7,"Big Rock, Coupville, Whidbey Island, WA",10,Big Rock,"Coupville, Whidbey Island, WA"
"8  White Rock, Hood Canal, Port Ludlow, WA",47.893217,-122.642983,,8,"White Rock, Hood Canal, Port Ludlow, WA",11,White Rock,"Hood Canal, Port Ludlow, WA"
"9  Willamette Meteorite, West Linn, OR",45.377041,-122.637099,,9,"Willamette Meteorite, West Linn, OR",12,Willamette Meteorite,"West Linn, OR"
"10  Ferndale Erratics, Ferndale, WA",48.869213,-122.593162,,10,"Ferndale Erratics, Ferndale, WA",13,Ferndale Erratics,"Ferndale, WA"
"11  Frog Rock & Ladybug Rock, Bainbridge Island, WA",47.6958,-122.52355,,11,"Frog Rock & Ladybug Rock, Bainbridge Island, WA",14,Frog Rock & Ladybug Rock,"Bainbridge Island, WA"
"12  Donovan Avenue Erratic, Bellingham, WA",48.717272,-122.474638,,12,"Donovan Avenue Erratic, Bellingham, WA",15,Donovan Avenue Erratic,"Bellingham, WA"
"13  Arroyo Park Erratic, Bellingham, WA",48.68492,-122.460352,,13,"Arroyo Park Erratic, Bellingham, WA",16,Arroyo Park Erratic,"Bellingham, WA"
"14  Waterman Rock, Saratoga Woods Preserve, Whidbey Island, WA",48.054782,-122.459708,,14,"Waterman Rock, Saratoga Woods Preserve, Whidbey Island, WA",17,Waterman Rock,"Saratoga Woods Preserve, Whidbey Island, WA"
"15  Aldergrove Erratic / Big Rock, Aldergrove, BC",49.008588,-122.448921,,15,"Aldergrove Erratic / Big Rock, Aldergrove, BC",18,Aldergrove Erratic / Big Rock,"Aldergrove, BC"
"16  Edmonds Way Erratic, Edmonds, WA",47.789133,-122.35475,,16,"Edmonds Way Erratic, Edmonds, WA",19,Edmonds Way Erratic,"Edmonds, WA"
"17  Ravenna Park Erratic, Seattle, WA",47.6702,-122.30223,,17,"Ravenna Park Erratic, Seattle, WA",20,Ravenna Park Erratic,"Seattle, WA"
"18  Wedgwood Rock, Seattle, WA",47.680839,-122.2973,,18,"Wedgwood Rock, Seattle, WA",21,Wedgwood Rock,"Seattle, WA"
"19  Saar Creek Erratic, Sumas, WA",48.955768,-122.201206,,19,"Saar Creek Erratic, Sumas, WA",22,Saar Creek Erratic,"Sumas, WA"
"20  Indian Rock, Sanborn-Skyline County Park, CA",37.252776,-122.121642,,20,"Indian Rock, Sanborn-Skyline County Park, CA",23,Indian Rock,"Sanborn-Skyline County Park, CA"
"21  Lake Stevens Erratic, Everett, WA",47.996933,-122.115067,,21,"Lake Stevens Erratic, Everett, WA",24,Lake Stevens Erratic,"Everett, WA"
"22  Fantastic Erratic, Cougar Mountain Regional Park, Bellevue, WA",47.530237,-122.080479,,22,"Fantastic Erratic, Cougar Mountain Regional Park, Bellevue, WA",25,Fantastic Erratic,"Cougar Mountain Regional Park, Bellevue, WA"
"23  Big Rock, Duvall, WA",47.725617,-121.98645,,23,"Big Rock, Duvall, WA",26,Big Rock,"Duvall, WA"
"24  Yeager Rock, Mansfield, WA",47.815733,-119.55305,,24,"Yeager Rock, Mansfield, WA",27,Yeager Rock,"Mansfield, WA"
"25  Olmsted Point Erratics, Yosemite National Park, CA",37.810723,-119.485059,,25,"Olmsted Point Erratics, Yosemite National Park, CA",28,Olmsted Point Erratics,"Yosemite National Park, CA"
"26  Omak Rock, Omak, WA",48.23503,-119.36667,,26,"Omak Rock, Omak, WA",29,Omak Rock,"Omak, WA"
